plot_quad,AGHE2,ALAC4,ANLU2,HEPU6,BRAR5,BRTE,CAQU2,CATE26,MOLI4,COPA3,DAUN,DEDA,DEDI11,DODEC,EPBR3,JUTE,ALLIU,LIGL2,ELBE,LOBIL,LONU2,MAGR3,HEMI20,MIGR,NAVAR,NEPA,POAC,PODO4,POPO4,POSE,PSSP6,SAAN2,SEST2,SIID,TRGR7,TRMA3,TROB,VEDU,ZIVE
ARAR01_C.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
ARAR01_C.2,0.25,0,7,0,1,0,0,0,0,0,3,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,36,0
ARAR01_C.3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0
ARAR01_C.4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,29,0,0,0,0.25,0,0,0,0,0,13,0,0,0,4,0,0,0,9,0
ARAR01_C.5,0.25,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,10,0
ARAR01_C.6,0.25,0,3,0,0,0,0,0,0.25,0,6,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,20,0,0,0,4,0,0,0,20,0
ARAR01_C.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0.25,2,0,0,0,0,0,0,0,15,0
ARAR02_C.1,0,0,0,0,1,0,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,26,0
ARAR02_C.2,0,0,0,0,4,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0
ARAR02_C.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,17,0
ARAR02_C.4,0,0,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,21,0
ARAR02_C.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,34,0
ARAR02_C.6,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
ARAR02_C.7,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
ARAR03_C.1,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,3,0,0,0.25,0,0,0,0,0.25,24,0,0,0,0,0,0,0,10,0
ARAR03_C.2,0,0,0,0,2,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,4,0
ARAR03_C.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,17,18,0,0,0,0,0,0,5,0
ARAR03_C.4,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,36,0,0,0,0,0,0,0,5,0
ARAR03_C.5,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,0
ARAR03_C.6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0
ARAR03_C.7,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0
ARAR04_C.1,0.25,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,55,0
ARAR04_C.2,0,0,32,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
ARAR04_C.3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,22,0
ARAR04_C.4,0,0,7,0,3,0,0,0,0.25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,0,0,60,0
ARAR04_C.5,0.25,0,0,0,12,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,32,0
ARAR04_C.6,0,0,0,0,7,0,0,0,0,0,41,0,0,0,1,0,0,0.25,0,16,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,17,0
ARAR04_C.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,26,0
ARAR05_C.1,0,0,0,0,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARAR05_C.2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0.25,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,21,0
ARAR05_C.3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0
ARAR05_C.4,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,4,0.25,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0
ARAR05_C.5,2,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,0
ARAR05_C.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,0
ARAR05_C.7,3,0,0,0,8,0,0,0,0.25,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
ARRI01_C.1,3,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,20,0
ARRI01_C.2,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,18,0
ARRI01_C.3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,6,0,0,0,0,0,0,0,13,0
ARRI01_C.4,1,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0
ARRI01_C.5,6,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,28,0
ARRI01_C.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,8,0
ARRI01_C.7,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0
ARRI02_C.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,45,0
ARRI02_C.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14,0,25,0
ARRI02_C.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,14,0,22,0
ARRI02_C.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,17,0,11,0
ARRI02_C.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,4,0,33,0
ARRI02_C.6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,17,0
ARRI02_C.7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0
ARRI03_C.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,15,0,0,0,0,0,0,0,37,0
ARRI03_C.2,1,0,0,0,6,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,0
ARRI03_C.3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0.25,0,0,0,0,19,0
ARRI03_C.4,2,0,0,0,3,0,0,0,0.25,0,8,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,35,0
ARRI03_C.5,1,0,0,0,4,0,0,0,0,0,13,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,18,0
ARRI03_C.6,1,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,8,0,0,2,0,0,0,0,17,0
ARRI03_C.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,32,0
ARRI04_C.1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,45,0
ARRI04_C.2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,15,0
ARRI04_C.3,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,23,0
ARRI04_C.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,36,0
ARRI04_C.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,27,0
ARRI04_C.6,0.25,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,10,0,0,0,0,0,0,0,18,0
ARRI04_C.7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,24,0
ARRI05_C.1,1,0,0,0,0,0,0,0,0,0.25,32,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0
ARRI05_C.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,22,0,0,0,0,0,0,0,19,0
ARRI05_C.3,0.25,0,10,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
ARRI05_C.4,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,22,0
ARRI05_C.5,2,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,35,0
ARRI05_C.6,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,4,0,0,1,0,0,6,0,17,0
ARRI05_C.7,0,0,0,0,0,0,0,0,0,0.25,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,16,0
SEEP01_C.1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0.25,0,0,0,0,10,0,0,0,0,0,0,0,9,0
SEEP01_C.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0.25,0,0,0,0,6,0,0,0,0,0,9,0,12,0
SEEP01_C.3,1,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0.25,0,19,0,1,0,0,0.25,0,0,0,0,1,0,0,0,0,2,0,0,28,0
SEEP01_C.4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0.25,0,0,0.25,0,0,0,1,27,0,0,0,0,0,0,0,16,0
SEEP01_C.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,7,0,14,0,0.25,1,0,0,0,0,3,0,0,0,0,2,0,0,13,0
SEEP01_C.6,2,0,0,0,0,0,0,0.25,0,0,0,6,0,0,0.25,0,0,0,0,48,0,1,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,18,0
SEEP01_C.7,1,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0.25,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0
SEEP02_C.1,7,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,57,0
SEEP02_C.2,0,0,0,0,27,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,31,0
SEEP02_C.3,0,0,0,0,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,1,0,0,0,0.25,0,0,0,0,11,0,0,0,0,0,0,0,62,0
SEEP02_C.4,4,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,33,0
SEEP02_C.5,0,0,0,0,7,0,0,0,0,0,5,2,0,0,0,33,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
SEEP02_C.6,1,0,0,0,0,0,0,0,0,0,10,1,0,0,1,32,0,0,0,3,0,1,0,0,0,0,0,0.25,0,6,0,0,0,0,0,0,0,55,0
SEEP02_C.7,1,0,0,0,0,0,0,0,0,0,8,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0.25,11,0,0,0,0,0,0,0,37,0
SEEP03_C.1,0,0,0,0,0,0,0,0,0,0,2,2,17,3,0,6,8,0,0,10,0,0,0,0,0,0,0,0,0,2,0,2,0,0,21,0,0,23,0
SEEP03_C.2,0,0,0,0.25,2,0,0,0.25,0,0,2,4,5,7,0,0,36,0,0,1,0,0,0,0,2,0.25,0,0.25,0,7,0,0,0,0,2,0,0,9,4
SEEP03_C.3,0,0,0,0,1,0,0,1,0,0,0,1,11,6,1,27,11,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,5,9,3
SEEP03_C.4,0,0,0,0.25,0,0,0,0,0,0,8,1,2,1,1,0,20,0,0,13,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,10,0,0,22,8
SEEP03_C.5,0.25,0,0,0.25,0,0,0,2,0,0,0,5,2,0.25,1,0,12,0,0,0.25,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,14,0,0,14,0
SEEP03_C.6,0,0,0,0,0,0,0,1,0,0,0,5,2,4,0,0,9,0,0,0,0,0,0,0,1,0.25,0,0.25,0,7,0,4,0,0,2,0,17,34,5
SEEP03_C.7,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,6,0,0,10,0,0,0,0,0.25,0,0,0,0,0,0,1,0,0,6,0,0,33,3
SEEP04_C.1,1,0,0,0,29,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,25,0
SEEP04_C.2,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,50,0
SEEP04_C.3,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,15,0
SEEP04_C.4,0,0,0,0,19,0,0,0,0,0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,20,0
SEEP04_C.5,0,0,1,0,14,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0
SEEP04_C.6,0,0,0,0,20,0,5,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0
SEEP04_C.7,0,0,1,0,4,0,0,0,0,0,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,0,3,0,15,0
SEEP05_C.1,0,0,0,0,0,0,4,0.25,0,0,0,0.25,0,7,0,0,13,0,24,20,0,0,0,0,0,0,42,0,0,0,0,0,0,0,17,0,0,2,3
SEEP05_C.2,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,20,0,6,7,0,0,0,1,0,0,10,0,0,0,0,0,0,0,20,0,0,4,0
SEEP05_C.3,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,19,0,30,23,0,0,0,2,2,0,13,0,0,0,0,0,0,0,8,0,0,11,0
SEEP05_C.4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,4,12,0,0,0,0,1,0,25,0,0,0,0,0,0,0,25,0,0,8,0
SEEP05_C.5,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,20,0,5,9,0,0,0,0,2,0,18,0,0,5,0,0,0,0,20,0,0,17,0
SEEP05_C.6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,6,14,0,0,0,0,1,0,4,0,0,0,0,0,0,0,16,0,0,45,0
SEEP05_C.7,0,0,0,0,0,0,6,0,0,0,0,0.25,0,0,0,0,8,0,0,27,0,0,0,0.25,0.25,0,0,0,0,4,0,0,0,0,12,0,0,22,0
