"","plot_quad","AGHE","ALAC","ANLU","BA_0","BROM","BRTE","CAQU","CATE","CLLI","COPA","DAUN","DEDA","DEDI","DODE","EPBR","JUNC","LEAF","LITH","LITT","LOLE","LONU","MADI","MAMI","MIGR","NAVA","NEPA","POAC","PODO","POPO","POSE","PSSP","SAAN","SEST","SIID","TRGR","TRMA","TROB","VEDU","ZICO"
"1","ARAR01_C.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
"2","ARAR01_C.2",0.25,0,7,0,1,0,0,0,0,0,3,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,36,0
"3","ARAR01_C.3",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0
"4","ARAR01_C.4",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,29,0,0,0,0.25,0,0,0,0,0,13,0,0,0,4,0,0,0,9,0
"5","ARAR01_C.5",0.25,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,10,0
"6","ARAR01_C.6",0.25,0,3,0,0,0,0,0,0.25,0,6,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,20,0,0,0,4,0,0,0,20,0
"7","ARAR01_C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0.25,2,0,0,0,0,0,0,0,15,0
"8","ARAR01_CC1",1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,7,0,0,0,0.25,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0
"9","ARAR01_CC2",1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0.25,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0
"10","ARAR01_CC3",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,8,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,13,0
"21","ARAR02_C.1",0,0,0,0,1,0,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,26,0
"22","ARAR02_C.2",0,0,0,0,4,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0
"23","ARAR02_C.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,17,0
"24","ARAR02_C.4",0,0,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,21,0
"25","ARAR02_C.5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,34,0
"26","ARAR02_C.6",0,0,0,0,3,0,0,0,0,0,9,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
"27","ARAR02_C.7",0,0,1,0,9,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"28","ARAR02_CC1",0,0,6,0,2,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,13,0
"29","ARAR02_CC2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,5,0
"30","ARAR02_CC3",0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,0,0,0,0,0,0,9,0
"41","ARAR03_C.1",0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,3,0,0,0.25,0,0,0,0,0.25,24,0,0,0,0,0,0,0,10,0
"42","ARAR03_C.2",0,0,0,0,2,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,4,0
"43","ARAR03_C.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,17,18,0,0,0,0,0,0,5,0
"44","ARAR03_C.4",0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,36,0,0,0,0,0,0,0,5,0
"45","ARAR03_C.5",0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,0
"46","ARAR03_C.6",2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0
"47","ARAR03_C.7",0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0
"48","ARAR03_CC1",0,0,23,0,0.25,0,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,0
"49","ARAR03_CC2",0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0
"50","ARAR03_CC3",0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,18,0,0,0,0,0,0,0,3,0
"61","ARAR04_C.1",0.25,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,55,0
"62","ARAR04_C.2",0,0,32,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
"63","ARAR04_C.3",0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,22,0
"64","ARAR04_C.4",0,0,7,0,3,0,0,0,0.25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,0,0,60,0
"65","ARAR04_C.5",0.25,0,0,0,12,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,32,0
"66","ARAR04_C.6",0,0,0,0,7,0,0,0,0,0,41,0,0,0,1,0,0,0.25,0,16,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,17,0
"67","ARAR04_C.7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,26,0
"68","ARAR04_CC1",0,0,4,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,0
"69","ARAR04_CC2",0,0,12,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,22,0
"70","ARAR04_CC3",0,0,0,0,3,0,0,0,0,0,20,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,18,0
"81","ARAR05_C.1",0,0,0,0,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"82","ARAR05_C.2",1,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0.25,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,21,0
"83","ARAR05_C.3",0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0
"84","ARAR05_C.4",5,0,0,0,6,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,4,0.25,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0
"85","ARAR05_C.5",2,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,0
"86","ARAR05_C.6",1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,0
"87","ARAR05_C.7",3,0,0,0,8,0,0,0,0.25,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"88","ARAR05_CC1",0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0,0,0,7,0.25,0,0,0,0,0,0,26,0,4,0,0,0,0,0,0
"89","ARAR05_CC2",3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,8,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0
"90","ARAR05_CC3",0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"101","ARRI01_C.1",3,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,20,0
"102","ARRI01_C.2",1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,18,0
"103","ARRI01_C.3",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,6,0,0,0,0,0,0,0,13,0
"104","ARRI01_C.4",1,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0
"105","ARRI01_C.5",6,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,28,0
"106","ARRI01_C.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,8,0
"107","ARRI01_C.7",0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0
"108","ARRI01_CC1",3,0,0,0,1,0,0,0,0,0.25,0,0,0,0,2,0,0,0.25,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,2,0,1,0
"109","ARRI01_CC2",3,0,0,0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,0,0,0,0,0,0,0,3,0
"110","ARRI01_CC3",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"121","ARRI02_C.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,45,0
"122","ARRI02_C.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14,0,25,0
"123","ARRI02_C.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,14,0,22,0
"124","ARRI02_C.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,17,0,11,0
"125","ARRI02_C.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,4,0,33,0
"126","ARRI02_C.6",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,17,0
"127","ARRI02_C.7",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0
"128","ARRI02_CC1",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,14,0,10,0
"129","ARRI02_CC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,6,0
"130","ARRI02_CC3",0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,5,0,32,0
"141","ARRI03_C.1",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,15,0,0,0,0,0,0,0,37,0
"142","ARRI03_C.2",1,0,0,0,6,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,0
"143","ARRI03_C.3",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0.25,0,0,0,0,19,0
"144","ARRI03_C.4",2,0,0,0,3,0,0,0,0.25,0,8,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,35,0
